"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"210148_at"	0.0148032933345527	4.37718215283032e-05	5.57073715703284	2.29989548763393	2.06983382897762	"HIPK3"	"homeodomain interacting protein kinase 3"
"219399_at"	0.015222525031463	4.67426561866826e-05	5.53682527598844	2.23908056403545	1.85315950274832	"LIN7C"	"lin-7 homolog C, crumbs cell polarity complex component"
"220229_s_at"	0.0154667775395499	4.98864301430439e-05	5.50328606565065	2.17876650518009	2.19089388655199	"AP4E1"	"adaptor related protein complex 4 epsilon 1 subunit"
"202527_s_at"	0.0154667775395499	5.41898949027088e-05	5.46075812471798	2.10205016946075	1.6677658102246	"SMAD4"	"SMAD family member 4"
"204351_at"	0.0154667775395499	5.44146529212334e-05	-5.45863395666447	2.09821144172335	-4.43869955754201	"S100P"	"S100 calcium binding protein P"
"202095_s_at"	0.0154667775395499	5.72520135664366e-05	-5.43257217803703	2.05106002700121	-3.14219848236319	"BIRC5"	"baculoviral IAP repeat containing 5"
"205544_s_at"	0.0154667775395499	5.85379753831209e-05	5.42119687491574	2.03044876050487	3.0534320347245	"CR2"	"complement component 3d receptor 2"
"221517_s_at"	0.0154667775395499	6.29849678746583e-05	5.38375986723118	1.96248375217285	1.98977627993935	"MED17"	"mediator complex subunit 17"
"201018_at"	0.0154667775395499	6.33807326841593e-05	5.38056143275865	1.95666782433827	1.74087844576206	"EIF1AX"	"eukaryotic translation initiation factor 1A, X-linked"
"206177_s_at"	0.0154667775395499	6.45725960363475e-05	-5.37105237112746	1.93936822007391	-4.64937037043237	"ARG1"	"arginase 1"
"208447_s_at"	0.0154667775395499	6.49477561662283e-05	5.36809670148573	1.93398841141672	1.28529812394065	"PRPS1"	"phosphoribosyl pyrophosphate synthetase 1"
"210971_s_at"	0.0154667775395499	6.5684078374886e-05	5.36234656705726	1.9235186442895	1.74491472445541	"ARNTL"	"aryl hydrocarbon receptor nuclear translocator like"
"206515_at"	0.0154667775395499	7.17406692344355e-05	-5.31743116193579	1.84157575343889	-3.91328874431292	"CYP4F3"	"cytochrome P450 family 4 subfamily F member 3"
"209369_at"	0.0154667775395499	7.29419695074875e-05	-5.30898890483927	1.82614203416582	-4.06775430207636	"ANXA3"	"annexin A3"
"205005_s_at"	0.0154667775395499	7.38883687083848e-05	5.30243844248057	1.81415990225313	1.93860500134098	"NMT2"	"N-myristoyltransferase 2"
"201656_at"	0.0154667775395499	7.54771661041361e-05	5.2916339617283	1.79438316189067	1.74969915781516	"ITGA6"	"integrin subunit alpha 6"
"34031_i_at"	0.0154667775395499	7.59457006134424e-05	5.2884925124909	1.78862992506602	1.98563173102519	"KRIT1"	"KRIT1, ankyrin repeat containing"
"205961_s_at"	0.0154667775395499	7.72651984275504e-05	5.27975181662832	1.77261500209593	1.82487263349139	"PSIP1"	"PC4 and SFRS1 interacting protein 1"
"221268_s_at"	0.0154667775395499	7.73954522620488e-05	5.27889734792433	1.77104885141211	2.16815509417339	"SGPP1"	"sphingosine-1-phosphate phosphatase 1"
"221234_s_at"	0.0156948048961549	8.03214170734642e-05	5.26008432593037	1.73654084601025	2.05790942168884	"BACH2"	"BTB domain and CNC homolog 2"
"206111_at"	0.0163801469444738	8.97367266842058e-05	-5.20401984212928	1.6334141559551	-2.25835980395088	"RNASE2"	"ribonuclease A family member 2"
"205513_at"	0.0163801469444738	8.99905375629626e-05	-5.20259379962737	1.63078543499478	-3.33964509203589	"TCN1"	"transcobalamin 1"
"218748_s_at"	0.0163801469444738	9.06946922464113e-05	5.19865909517835	1.62353089146108	3.41866785292386	"EXOC5"	"exocyst complex component 5"
"203676_at"	0.0163801469444738	9.12802456817029e-05	5.19541102540282	1.61754073225277	2.78274003593969	"GNS"	"glucosamine (N-acetyl)-6-sulfatase"
"206126_at"	0.0166459552631667	9.76339015123228e-05	5.16148763699245	1.55489312478062	2.30142335140522	"CXCR5"	"C-X-C motif chemokine receptor 5"
"205408_at"	0.0166459552631667	9.93890319531294e-05	5.15251717813422	1.53830111758654	1.51660697937788	"MLLT10"	"myeloid/lymphoid or mixed-lineage leukemia; translocated to, 10"
"209172_s_at"	0.0166459552631667	9.96344200632398e-05	-5.15127602320491	1.53600459368946	-2.14408234665664	"CENPF"	"centromere protein F"
"221194_s_at"	0.0166459552631667	0.000100333859768888	5.14775551754721	1.52948943769078	1.28675463760244	"TBC1D3P1-DHX40P1///RNFT1"	"TBC1D3P1-DHX40P1 readthrough, transcribed pseudogene///ring finger protein, transmembrane 1"
"203469_s_at"	0.0167469214305441	0.000102847009808869	5.13531143188929	1.50644675897797	2.61773937115835	"CDK10"	"cyclin dependent kinase 10"
"210786_s_at"	0.0193263366822059	0.000121063875353479	5.0535130414843	1.35447182346409	1.40924861412201	"FLI1"	"Fli-1 proto-oncogene, ETS transcription factor"
"204131_s_at"	0.0193263366822059	0.000123083686364555	-5.04523548396644	1.3390441519246	-1.89436499586988	"FOXO3"	"forkhead box O3"
"222201_s_at"	0.0194645136738164	0.000127722420889548	5.02674249984913	1.30454517802552	1.70608756841045	"CASP8AP2"	"caspase 8 associated protein 2"
"201463_s_at"	0.0194645136738164	0.000128390969303008	-5.02413435153153	1.29967610761909	-1.5192398053136	"TALDO1"	"transaldolase 1"
"214132_at"	0.0203289277212869	0.000137114088390987	4.99132907723637	1.23835908679488	1.51826550491549	"ATP5C1"	"ATP synthase, H+ transporting, mitochondrial F1 complex, gamma polypeptide 1"
"212672_at"	0.0203289277212869	0.000138716668176642	4.98553624844961	1.2275174517566	2.06338485009828	"ATM"	"ATM serine/threonine kinase"
"200722_s_at"	0.0203758230776757	0.000141353941514638	4.97615151631049	1.20994440329228	1.44434582034456	"CAPRIN1"	"cell cycle associated protein 1"
"214438_at"	0.0232122538975618	0.000163671072631506	-4.90327340748548	1.07310742094258	-2.18972343906697	"HLX"	"H2.0 like homeobox"
"221442_at"	0.0238180061389045	0.000171012154848605	-4.88151758422204	1.03213277051057	-1.96929553693838	"MC3R"	"melanocortin 3 receptor"
"214523_at"	0.0238180061389045	0.000173732402084876	-4.87369861848994	1.01739274954132	-1.79414099010758	"CEBPE"	"CCAAT/enhancer binding protein epsilon"
"206560_s_at"	0.0238180061389045	0.00017606850893083	-4.86708350245671	1.00491648553411	-1.97136728977464	"MIA"	"melanoma inhibitory activity"
"214447_at"	0.0239885536318565	0.000180057379700049	4.85599389961314	0.983989574055814	1.9318734397235	"ETS1"	"ETS proto-oncogene 1, transcription factor"
"206816_s_at"	0.0240848342542853	0.000183877475606344	-4.84560745380755	0.96437638922143	-1.93362664131416	"SPAG8"	"sperm associated antigen 8"
"220606_s_at"	0.0240848342542853	0.000189375013956726	4.83104255936374	0.936851511620967	1.337005003334	"ADPRM"	"ADP-ribose/CDP-alcohol diphosphatase, manganese dependent"
"201448_at"	0.0240848342542853	0.000191172034933785	4.82637557964573	0.928026564830372	1.70392013650917	"TIA1"	"TIA1 cytotoxic granule-associated RNA binding protein"
"218589_at"	0.0240848342542853	0.000191736426452857	4.8249191043623	0.925271948287304	2.11678255789753	"LPAR6"	"lysophosphatidic acid receptor 6"
"209649_at"	0.0246756053231689	0.000199245761167405	4.80594852580579	0.889370638624357	1.42704528760201	"STAM2"	"signal transducing adaptor molecule 2"
"203579_s_at"	0.0279521002001287	0.000228881066121831	4.7376318604538	0.759743429563237	1.39261665484614	"SLC7A6"	"solute carrier family 7 member 6"
"220076_at"	0.0282321540650864	0.000234384993375561	4.72594851289256	0.737522678270186	2.43678600206813	"ANKH"	"ANKH inorganic pyrophosphate transport regulator"
"203919_at"	0.0285103895416995	0.000248526391618663	4.69717371996365	0.682731825829281	1.94936244298375	"TCEA2"	"transcription elongation factor A2"
"AFFX-HUMISGF3A/M97935_5_at"	0.0285103895416995	0.000249501398206483	4.69525202122116	0.679069474643161	2.93291955305361	"STAT1"	"signal transducer and activator of transcription 1"
"208848_at"	0.0285103895416995	0.00025251866531011	4.68935348031417	0.667825626809156	1.54282641782484	"ADH5"	"alcohol dehydrogenase 5 (class III), chi polypeptide"
"204542_at"	0.0285103895416995	0.000254001818411429	-4.68648043309222	0.662347650247092	-2.21175636141101	"ST6GALNAC2"	"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2"
"209657_s_at"	0.0285103895416995	0.000255198802320788	4.6841742314534	0.657949827554561	1.71123232206459	"HSF2"	"heat shock transcription factor 2"
"211841_s_at"	0.0285103895416995	0.000256149297599711	4.68235081133321	0.65447224574493	2.3830483667509	"TNFRSF25"	"TNF receptor superfamily member 25"
"218877_s_at"	0.0287125729192262	0.000261231187710463	4.67271784770217	0.63609462608698	1.62686347259504	"TRMT11"	"tRNA methyltransferase 11 homolog"
"203413_at"	0.030290768031889	0.000279034710631526	4.64042227690623	0.574410341673977	1.69539592108935	"NELL2"	"neural EGFL like 2"
"203948_s_at"	0.0304575140000267	0.00028403458978758	-4.63173132510522	0.557792162030273	-3.79096371008582	"MPO"	"myeloperoxidase"
"205863_at"	0.0310015844830292	0.000292634085305519	-4.61714331254782	0.529880640987078	-2.31066181828249	"S100A12"	"S100 calcium binding protein A12"
"204186_s_at"	0.0313163435251579	0.000299166707166299	4.60635170559136	0.509218917630225	1.638081479126	"PPID"	"peptidylprolyl isomerase D"
"208654_s_at"	0.0316865336093162	0.000306306761832352	4.59482897195987	0.487144409961186	1.30156061191826	"CD164"	"CD164 molecule"
"207079_s_at"	0.032217637146727	0.000316346241859245	4.57908348942814	0.456958803005258	1.7971798997502	"MED6"	"mediator complex subunit 6"
"205321_at"	0.032217637146727	0.000318768842461646	4.57536052263874	0.449817928922299	2.58929840256227	"EIF2S3"	"eukaryotic translation initiation factor 2 subunit gamma"
"203156_at"	0.0331028812237948	0.000331292340235863	4.55656482132953	0.413745907273558	1.68098813390599	"AKAP11"	"A-kinase anchoring protein 11"
"206522_at"	0.0345060816761934	0.00034925978268864	-4.53083003497352	0.364301250153563	-4.60948070366542	"MGAM"	"maltase-glucoamylase"
"201946_s_at"	0.0359159552026171	0.000367614689893727	4.50590086525835	0.316344589200699	2.3430772970651	"CCT2"	"chaperonin containing TCP1 subunit 2"
"218878_s_at"	0.0391848238003797	0.000405529280772723	4.45820165340608	0.224425471147664	1.31223643778914	"SIRT1"	"sirtuin 1"
"205786_s_at"	0.0395135101726066	0.000413424648684159	-4.4488429741854	0.206366830876011	-1.39802648891049	"ITGAM"	"integrin subunit alpha M"
"34449_at"	0.040092064997747	0.000424037534947171	4.43654643755142	0.182627599375947	1.33116535075063	"CASP2"	"caspase 2"
"212706_at"	0.0408956185392477	0.00044045392637232	4.41813090954347	0.147050848879426	1.52843824748724	"LOC102724229///RASA4B///RASA4"	"uncharacterized LOC102724229///RAS p21 protein activator 4B///RAS p21 protein activator 4"
"206871_at"	0.0408956185392477	0.000441838253295637	-4.41661013848212	0.144111593993434	-4.87598144206089	"ELANE"	"elastase, neutrophil expressed"
"205259_at"	0.0411439155989856	0.000449200033834029	4.40860351585609	0.128633650860901	1.92088119545027	"NR3C2"	"nuclear receptor subfamily 3 group C member 2"
"202731_at"	0.0426594896614832	0.000473863168051244	4.38272278834508	0.0785659259386513	1.96519276683461	"MIR4680///PDCD4"	"microRNA 4680///programmed cell death 4 (neoplastic transformation inhibitor)"
"206099_at"	0.0426594896614832	0.000475449788107057	4.38110514798214	0.0754346784652755	2.34038684646562	"PRKCH"	"protein kinase C eta"
"202165_at"	0.0451922234539554	0.000509059933223235	4.34807257498795	0.0114478962782263	1.15166256731008	"PPP1R2"	"protein phosphatase 1 regulatory inhibitor subunit 2"
"203403_s_at"	0.0451922234539554	0.000518196404633521	4.3394768020103	-0.00521695317207538	1.29374443421124	"RNF6"	"ring finger protein 6"
"207384_at"	0.0451922234539554	0.0005190963913169	-4.33863844207483	-0.00684261050025015	-4.76582117023014	"PGLYRP1"	"peptidoglycan recognition protein 1"
"202611_s_at"	0.0462159906103261	0.000540733069150549	4.31891685136015	-0.045100142175591	1.17418461578642	"MED14"	"mediator complex subunit 14"
"221521_s_at"	0.0462159906103261	0.000541367796299737	-4.31835050631107	-0.0461992204784885	-3.22765796454522	"GINS2"	"GINS complex subunit 2"
"210288_at"	0.0462992567592466	0.000547608632203076	4.31281775050954	-0.0569376381786002	1.50546300960219	"KLRG1"	"killer cell lectin like receptor G1"
"218338_at"	0.046538003451717	0.000558679724366209	4.30315886473417	-0.0756898537394308	1.99564042974302	"PHC1"	"polyhomeotic homolog 1"
"213461_at"	0.046538003451717	0.000566571292705121	4.29639210973944	-0.0888312548363572	1.81506170206975	"NUDT21"	"nudix hydrolase 21"
"209941_at"	0.046538003451717	0.000571120127521981	4.29253507725586	-0.0963233178289222	1.72841596977799	"RIPK1"	"receptor interacting serine/threonine kinase 1"
"211937_at"	0.046538003451717	0.000571637816889429	4.29209810239488	-0.0971721845679232	1.53411547657118	"EIF4B"	"eukaryotic translation initiation factor 4B"
"202169_s_at"	0.046538003451717	0.00057689552783318	4.28768281071401	-0.105750100419254	1.52462330504266	"AASDHPPT"	"aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase"
"205288_at"	0.0471245655430285	0.000589526010432519	4.27724117713904	-0.12604142163152	1.85449834533305	"CDC14A"	"cell division cycle 14A"
"200878_at"	0.0471517206646744	0.000603188377918879	-4.26619965177241	-0.147506947964438	-2.05648012621418	"EPAS1"	"endothelial PAS domain protein 1"
"209605_at"	0.0471517206646744	0.000605125438436748	-4.26465479696119	-0.150510941045759	-1.57494399679125	"TST"	"thiosulfate sulfurtransferase"
"221326_s_at"	0.0471517206646744	0.000605952966576619	4.2639963548818	-0.151791342073524	1.17088676077628	"TUBD1"	"tubulin delta 1"
"203608_at"	0.0475719981947635	0.000616764220880592	4.25547716159909	-0.168360409661098	2.47625278557007	"ALDH5A1"	"aldehyde dehydrogenase 5 family member A1"
"201470_at"	0.0482278146117339	0.000634132667200405	-4.24210384613294	-0.194380359391492	-1.18064074390203	"GSTO1"	"glutathione S-transferase omega 1"
"203021_at"	0.0482278146117339	0.000639051381736623	-4.23838415868669	-0.201619766959931	-2.57838323088082	"SLPI"	"secretory leukocyte peptidase inhibitor"
"218755_at"	0.0482278146117339	0.000641721177024095	-4.23637734103493	-0.205525902761654	-2.98124024951401	"KIF20A"	"kinesin family member 20A"
"219843_at"	0.0489956451123929	0.00065751007884253	4.22468000136387	-0.228299314322773	1.25594500120682	"IPP"	"intracisternal A particle-promoted polypeptide"
"208864_s_at"	0.049127441770942	0.000664865867251462	-4.21932753171603	-0.238722974281481	-1.30138409505927	"TXN"	"thioredoxin"
"203936_s_at"	0.0493045361727342	0.000672869821531684	-4.21357135218469	-0.249934914524491	-3.92183833207507	"MMP9"	"matrix metallopeptidase 9"
"219528_s_at"	0.0503930320614324	0.000697743052939556	4.19611741072788	-0.28394480627563	1.83755149608293	"BCL11B"	"B-cell CLL/lymphoma 11B"
"209945_s_at"	0.0503930320614324	0.000704490104078773	-4.19149180039188	-0.292961253597609	-1.32720194450239	"GSK3B"	"glycogen synthase kinase 3 beta"
"206118_at"	0.0503930320614324	0.000704917882810894	4.19120004434439	-0.293530002090771	1.64393818964361	"STAT4"	"signal transducer and activator of transcription 4"
"218689_at"	0.0504874597747369	0.000711980554084769	4.18640893905975	-0.302870521587562	2.68403747054444	"FANCF"	"Fanconi anemia complementation group F"
"202912_at"	0.0509787530148477	0.000741892038785744	-4.16663902375168	-0.341427794498962	-2.54335737218816	"ADM"	"adrenomedullin"
"204847_at"	0.0509787530148477	0.000742963267149817	4.16594609292414	-0.342779641781872	1.1146527132772	"ZBTB11"	"zinc finger and BTB domain containing 11"
"207094_at"	0.0509787530148477	0.000745229791760684	-4.16448331374282	-0.345633488695171	-2.96327038294979	"CXCR1"	"C-X-C motif chemokine receptor 1"
"220132_s_at"	0.0509787530148477	0.000749299268327123	4.16186823388574	-0.350735759981879	2.44040129635663	"CLEC2D"	"C-type lectin domain family 2 member D"
"204552_at"	0.0509787530148477	0.000753144946262273	4.15941018230713	-0.355532019150342	1.36536860771134	"INPP4A"	"inositol polyphosphate-4-phosphatase type I A"
"219971_at"	0.0509787530148477	0.000759099668087144	4.15562910753895	-0.362910506503558	2.58171839784219	"IL21R"	"interleukin 21 receptor"
"218918_at"	0.0509787530148477	0.000768035129471908	4.15001144850202	-0.373874477027735	1.84969822671956	"MAN1C1"	"mannosidase alpha class 1C member 1"
"205592_at"	0.0509787530148477	0.000770924466300741	-4.14820912406835	-0.37739245233205	-2.80279186106557	"SLC4A1"	"solute carrier family 4 member 1 (Diego blood group)"
"215794_x_at"	0.0509787530148477	0.000773698055564802	4.14648543699687	-0.380757107750523	1.06662769906638	"GLUD2"	"glutamate dehydrogenase 2"
"208666_s_at"	0.0509787530148477	0.000776885352438256	4.14451237028564	-0.384608761927486	1.25997068824983	"ST13"	"suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein)"
"211339_s_at"	0.0511445367062772	0.000785228301529333	4.13938637496603	-0.39461632386953	1.97906375967758	"ITK"	"IL2 inducible T-cell kinase"
"221558_s_at"	0.051522087767307	0.000796884332577477	4.13231655042675	-0.408421263848202	2.07881306955474	"LEF1"	"lymphoid enhancer binding factor 1"
"217977_at"	0.0542403370334726	0.000845095664003838	-4.10414777765514	-0.463452163335544	-1.91685636458478	"MSRB1"	"methionine sulfoxide reductase B1"
"203867_s_at"	0.0550971948119241	0.000870248519709405	4.09009166836391	-0.490927912974271	2.20506337398397	"NLE1"	"notchless homolog 1"
"218432_at"	0.0550971948119241	0.000874257570843895	4.08788940861936	-0.49523361881207	1.33526881436974	"FBXO3"	"F-box protein 3"
"207627_s_at"	0.0550971948119241	0.000880072180054145	4.08471343381024	-0.501443490488056	1.18715827983743	"TFCP2"	"transcription factor CP2"
"210119_at"	0.0550971948119241	0.000886275002015418	-4.08134876882977	-0.508022845777265	-3.63286346581179	"KCNJ15"	"potassium voltage-gated channel subfamily J member 15"
"202922_at"	0.0550971948119241	0.00089190310285076	4.078316438139	-0.513952821836499	1.11080002525087	"GCLC"	"glutamate-cysteine ligase catalytic subunit"
"203574_at"	0.0550971948119241	0.000896042176515996	-4.07609871706209	-0.51829004444145	-2.00201963962072	"NFIL3"	"nuclear factor, interleukin 3 regulated"
"219550_at"	0.0553736848469445	0.000907199601107236	4.07017185911304	-0.529882433973135	1.45878209734813	"ROBO3"	"roundabout guidance receptor 3"
"218967_s_at"	0.0553736848469445	0.000913133663460361	4.06704967542356	-0.53598981392021	2.58879108667275	"PTER"	"phosphotriesterase related"
"208097_s_at"	0.0563222361135126	0.000935180993127811	4.05562689697499	-0.558338093454417	1.36227858581552	"TMX1"	"thioredoxin related transmembrane protein 1"
"205471_s_at"	0.0578407207879627	0.000966972131903846	-4.03962707039915	-0.589651243421798	-2.207124514337	"DACH1"	"dachshund family transcription factor 1"
"201186_at"	0.0585565993967619	0.000985599534939242	-4.03049788474657	-0.607522979825746	-1.12903993793772	"LRPAP1"	"LDL receptor related protein associated protein 1"
"204970_s_at"	0.0595513612297958	0.0010124071482357	-4.01766156253035	-0.632657993499352	-1.61339679089283	"MAFG"	"MAF bZIP transcription factor G"
"206073_at"	0.0595513612297958	0.00101588811378021	4.01602004989034	-0.635872760853237	2.22192772187499	"COLQ"	"collagen like tail subunit of asymmetric acetylcholinesterase"
"209884_s_at"	0.0613869446590693	0.00105418271847145	3.99832812759143	-0.670527815821698	2.33005135982071	"SLC4A7"	"solute carrier family 4 member 7"
"202708_s_at"	0.0631809570551112	0.00109401124533436	-3.98060416025055	-0.705257769233814	-1.39513425655858	"HIST2H2BE"	"histone cluster 2, H2be"
"213022_s_at"	0.0631809570551112	0.00109936158642466	3.97827306804288	-0.709826388301938	1.8726500185164	"UTRN"	"utrophin"
"204560_at"	0.0634241569286559	0.00111080634220551	3.97332496484548	-0.719524634537138	2.86267604918043	"FKBP5"	"FK506 binding protein 5"
"206182_at"	0.0636100909188811	0.00112724302266167	3.96630803172947	-0.733279253470503	2.32646835937924	"ZNF134"	"zinc finger protein 134"
"202816_s_at"	0.0636100909188811	0.00113208269511319	3.96426163905272	-0.737290921622027	1.24416813228893	"SS18"	"SS18, nBAF chromatin remodeling complex subunit"
"220001_at"	0.0636100909188811	0.00113576529901789	-3.96271041209088	-0.740331981689327	-2.56245463615766	"PADI4"	"peptidyl arginine deiminase 4"
"217790_s_at"	0.0641809733846107	0.00115325756792545	3.95541086076231	-0.754643274479402	1.89969501821834	"SSR3"	"signal sequence receptor subunit 3"
"201835_s_at"	0.0643089367704704	0.001171212699925	3.94803358851695	-0.769108730461927	0.974572767399922	"PRKAB1"	"protein kinase AMP-activated non-catalytic subunit beta 1"
"202338_at"	0.0643089367704704	0.00118049851544188	-3.94426300033865	-0.77650282707022	-1.75677567389091	"TK1"	"thymidine kinase 1"
"210205_at"	0.0643089367704704	0.00118210951169286	-3.94361189185856	-0.777779691701701	-0.985564715633267	"B3GALT4"	"beta-1,3-galactosyltransferase 4"
"200965_s_at"	0.0643089367704704	0.00118481152698922	3.94252184122677	-0.779917379247199	1.83449392441757	"ABLIM1"	"actin binding LIM protein 1"
"203689_s_at"	0.0646899608558146	0.00119918840208095	3.93676380001264	-0.791210029138803	1.46254183860126	"FMR1"	"fragile X mental retardation 1"
"218458_at"	0.0656454682604992	0.00122815407806132	3.92537160431478	-0.813555314601216	1.43680749214352	"GMCL1"	"germ cell-less, spermatogenesis associated 1"
"219922_s_at"	0.0656454682604992	0.00123183239656345	3.92394437281942	-0.816355034440664	1.71605118794243	"LTBP3"	"latent transforming growth factor beta binding protein 3"
"202990_at"	0.0660566313952649	0.00124706025379438	-3.91808120593946	-0.827857089025867	-1.97314143963241	"PYGL"	"phosphorylase, glycogen, liver"
"212037_at"	0.0661288836887851	0.00125594490799808	3.91469365081875	-0.834503056931349	1.23612720631598	"PNN"	"pinin, desmosome associated protein"
"203989_x_at"	0.0669168174757521	0.00127851988353535	3.90619387054953	-0.851179958686926	1.67734558282344	"F2R"	"coagulation factor II thrombin receptor"
"38241_at"	0.0673183506021349	0.0013008742864065	3.89792509294959	-0.867405446075987	2.04858542065162	"BTN3A3"	"butyrophilin subfamily 3 member A3"
"203293_s_at"	0.0673183506021349	0.00130533903562344	3.89629079259264	-0.87061257322159	2.48342286861815	"LMAN1"	"lectin, mannose binding 1"
"204642_at"	0.0673183506021349	0.00130915932593712	3.89489686468662	-0.873348049530334	1.94876622903271	"S1PR1"	"sphingosine-1-phosphate receptor 1"
"211503_s_at"	0.0676733088498117	0.00132375857183755	3.8896075116105	-0.883728431341772	1.01476402792623	"RAB14"	"RAB14, member RAS oncogene family"
"211576_s_at"	0.0682729523957345	0.00134325267422519	-3.8826357553207	-0.897411558023851	-1.37045892749587	"SLC19A1"	"solute carrier family 19 member 1"
"209112_at"	0.0686570270904621	0.00138223018337298	3.86899695938736	-0.924182942025819	1.11559087484095	"CDKN1B"	"cyclin dependent kinase inhibitor 1B"
"203003_at"	0.0686570270904621	0.00138878905059755	-3.86674009557667	-0.928613292287887	-2.32305308503762	"MEF2D"	"myocyte enhancer factor 2D"
"205798_at"	0.0686570270904621	0.00140009320953942	3.86287551086675	-0.936199932796376	2.11539680275496	"IL7R"	"interleukin 7 receptor"
"208978_at"	0.0686570270904621	0.00141225509780003	3.85875266157148	-0.944293908968087	1.51433757144453	"CRIP2"	"cysteine rich protein 2"
"202969_at"	0.0686570270904621	0.00141815238747117	3.85676636257935	-0.948193529644101	1.69521895925125	"DYRK2"	"dual specificity tyrosine phosphorylation regulated kinase 2"
"221239_s_at"	0.0686570270904621	0.00142071946941496	3.85590432894486	-0.949885949218788	1.39120697727852	"FCRL2"	"Fc receptor like 2"
